1	2	2.196	0.0000e+00	0.0000e+00	0.0000e+00
2	2	2.196	3.7760e+00	0.0000e+00	0.0000e+00
3	2	2.196	0.0000e+00	3.7760e+00	0.0000e+00
4	2	2.196	3.7760e+00	3.7760e+00	0.0000e+00
5	1	-1.098	0.0000e+00	1.8880e+00	3.9841e-01
6	1	-1.098	3.7760e+00	1.8880e+00	3.9841e-01
7	1	-1.098	0.0000e+00	0.0000e+00	1.9731e+00
8	1	-1.098	3.7760e+00	0.0000e+00	1.9731e+00
9	1	-1.098	0.0000e+00	3.7760e+00	1.9731e+00
10	1	-1.098	3.7760e+00	3.7760e+00	1.9731e+00
11	2	2.196	0.0000e+00	1.8880e+00	2.3715e+00
12	2	2.196	3.7760e+00	1.8880e+00	2.3715e+00
13	1	-1.098	1.8880e+00	1.8880e+00	2.7699e+00
14	1	-1.098	0.0000e+00	1.8880e+00	4.3446e+00
15	1	-1.098	3.7760e+00	1.8880e+00	4.3446e+00
16	2	2.196	1.8880e+00	1.8880e+00	4.7430e+00
17	1	-1.098	1.8880e+00	0.0000e+00	5.1414e+00
18	1	-1.098	1.8880e+00	3.7660e+00	5.1414e+00
19	1	-1.098	1.8880e+00	1.8880e+00	6.7161e+00
20	2	2.196	1.8880e+00	0.0000e+00	7.1145e+00
21	2	2.196	1.8880e+00	3.7760e+00	7.1145e+00
22	1	-1.098	0.0000e+00	0.0000e+00	7.5129e+00
23	1	-1.098	3.7760e+00	0.0000e+00	7.5129e+00
24	1	-1.098	0.0000e+00	3.7760e+00	7.5129e+00
25	1	-1.098	3.7760e+00	3.7760e+00	7.5129e+00
26	1	-1.098	1.8880e+00	0.0000e+00	9.0876e+00
27	1	-1.098	1.8880e+00	3.7760e+00	9.0876e+00
28	2	2.196	0.0000e+00	0.0000e+00	9.4860e+00
29	2	2.196	3.7760e+00	0.0000e+00	9.4860e+00
30	2	2.196	0.0000e+00	3.7760e+00	9.4860e+00
31	2	2.196	3.7760e+00	3.7760e+00	9.4860e+00
32	2	2.196	7.5520e+00	0.0000e+00	0.0000e+00
33	2	2.196	7.5520e+00	3.7760e+00	0.0000e+00
